T = 30;
P = 2;
Exec = [
[620,890],
[620,950],
[920,690],
[550,830],
[990,900],
[900,600],
[760,630],
[950,870],
[660,910],
[850,780],
[700,730],
[870,500],
[810,660],
[780,980],
[650,670],
[580,560],
[790,980],
[600,930],
[930,540],
[690,530],
[580,940],
[640,910],
[570,710],
[920,570],
[540,520],
[550,520],
[600,760],
[620,990],
[860,730],
[960,530],
];
E = 62;
Edges = [
<1,2>,
<1,3>,
<1,4>,
<1,5>,
<1,6>,
<1,7>,
<2,13>,
<2,9>,
<2,10>,
<3,12>,
<3,10>,
<3,11>,
<4,11>,
<5,11>,
<6,10>,
<6,8>,
<7,9>,
<7,10>,
<7,8>,
<8,14>,
<8,17>,
<8,16>,
<9,18>,
<9,14>,
<9,15>,
<10,16>,
<11,18>,
<12,16>,
<12,14>,
<12,19>,
<13,18>,
<13,14>,
<13,16>,
<14,24>,
<14,21>,
<15,22>,
<15,24>,
<15,21>,
<16,22>,
<17,24>,
<17,20>,
<17,23>,
<18,20>,
<18,21>,
<19,22>,
<19,20>,
<19,23>,
<20,28>,
<20,27>,
<20,26>,
<21,26>,
<21,25>,
<22,29>,
<23,28>,
<24,29>,
<24,27>,
<24,26>,
<25,30>,
<26,30>,
<27,30>,
<28,30>,
<29,30>,
];
StartAfter = [
{2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,}
{9,10,13,14,15,16,18,20,21,22,24,25,26,27,28,29,30,}
{10,11,12,14,16,18,19,20,21,22,23,24,25,26,27,28,29,30,}
{11,18,20,21,25,26,27,28,30,}
{11,18,20,21,25,26,27,28,30,}
{8,10,14,16,17,20,21,22,23,24,25,26,27,28,29,30,}
{8,9,10,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,}
{14,16,17,20,21,22,23,24,25,26,27,28,29,30,}
{14,15,18,20,21,22,24,25,26,27,28,29,30,}
{16,29,22,30,}
{18,20,21,25,26,27,28,30,}
{14,16,19,20,21,22,23,24,25,26,27,28,29,30,}
{14,16,18,20,21,22,24,25,26,27,28,29,30,}
{21,24,25,26,27,29,30,}
{21,22,24,25,26,27,29,30,}
{29,22,30,}
{20,23,24,26,27,28,29,30,}
{20,21,25,26,27,28,30,}
{20,22,23,26,27,28,29,30,}
{26,27,28,30,}
{25,26,30,}
{29,30,}
{28,30,}
{26,27,29,30,}
{30,}
{30,}
{30,}
{30,}
{30,}
{}
];
V = 30;
VarS = [25,21,21,23,26,25,24,24,20,22,22,25,22,26,20,20,25,23,22,22,25,26,24,21,23,21,24,24,26,20];
VarR = {
<5,1,27,1,1>,
<10,3,28,1,2>,
<8,3,24,2,3>,
<25,1,25,1,3>,
<28,3,29,2,3>,
<27,1,21,2,4>,
<18,2,29,2,4>,
<25,2,29,2,4>,
<13,1,23,1,5>,
<17,3,21,1,5>,
<28,1,27,2,6>,
<5,3,28,1,6>,
<2,2,20,1,6>,
<27,3,26,2,7>,
<14,2,25,2,7>,
<12,1,28,2,7>,
<20,1,26,2,8>,
<26,1,20,1,9>,
<12,1,28,1,9>,
<19,1,24,2,9>,
<4,1,28,2,10>,
<28,3,22,1,11>,
<11,3,22,2,11>,
<12,2,28,2,11>,
<22,1,25,2,12>,
<22,3,28,1,13>,
<30,1,23,2,13>,
<12,2,30,1,14>,
<27,2,30,2,15>,
<5,2,21,1,16>,
<16,2,27,2,17>,
<10,3,29,1,18>,
<1,2,26,2,18>,
<16,2,29,1,19>,
<12,2,27,2,20>,
<16,3,25,1,20>,
<19,1,26,1,20>,
<2,1,24,2,21>,
<14,1,30,2,21>,
<3,3,27,1,21>,
<29,3,25,2,22>,
<1,2,28,2,22>,
<20,1,20,1,22>,
<2,3,28,1,23>,
<27,3,21,2,23>,
<13,1,27,1,23>,
<12,1,28,2,24>,
<25,2,30,2,25>,
<14,2,30,2,25>,
<2,3,27,2,25>,
<25,2,28,2,26>,
<5,1,20,1,26>,
<6,2,26,1,27>,
<27,2,28,2,27>,
<2,1,24,1,27>,
<1,2,25,2,28>,
<23,2,28,2,28>,
<19,2,26,2,28>,
<16,2,22,1,29>,
<23,2,23,1,30>,
<24,1,22,2,30>,
<16,3,25,1,30>,
};
SPMS = [300,300,];
LLB = [0,462,462,462,462,462,462,1092,1092,1092,1189,1071,829,1489,1752,1680,1890,1823,1317,2365,2402,2144,1755,2139,2982,2687,2687,2849,3165,3423];
SLB = [462,829,1071,984,1189,1010,1092,1890,1752,1701,1823,1317,1439,2129,2402,1934,2617,2365,1755,2849,2982,2675,2223,2687,3303,3187,3009,3289,3820,3930];
LUB = [3068,2832,2606,3011,3216,3104,3145,2745,2515,2556,2489,1997,2465,2017,2027,1947,2040,1855,1751,1313,1408,1693,1415,1377,828,1007,829,947,1162,507];
SUB = [2606,2465,1997,2489,2489,2556,2515,1947,1855,1947,1855,1751,1855,1377,1377,1693,1313,1313,1313,829,828,1162,947,829,507,507,507,507,507,0];
UB = 9881;
