T = 50;
P = 4;
Exec = [
[980,570,700,850],
[500,880,600,790],
[610,530,770,700],
[830,510,770,550],
[640,580,600,700],
[790,920,650,970],
[600,850,970,750],
[530,940,660,550],
[980,560,850,940],
[650,650,510,680],
[580,760,910,550],
[780,840,850,550],
[800,870,860,950],
[870,930,570,520],
[740,590,640,620],
[700,800,780,850],
[790,850,650,890],
[620,510,630,940],
[570,680,500,510],
[950,980,790,680],
[620,510,630,890],
[870,720,620,900],
[990,640,900,940],
[690,690,780,920],
[860,570,920,970],
[570,930,700,860],
[600,770,930,630],
[630,750,880,520],
[970,530,530,680],
[670,580,550,610],
[550,560,800,800],
[720,860,510,570],
[810,850,540,650],
[890,610,780,790],
[800,830,840,620],
[930,780,620,740],
[780,640,590,720],
[710,840,680,910],
[820,550,680,530],
[870,780,760,920],
[500,930,850,730],
[710,650,850,500],
[860,890,840,940],
[890,940,830,610],
[780,570,560,870],
[800,940,680,810],
[770,560,920,680],
[640,750,800,740],
[530,590,510,580],
[560,950,990,990],
];
E = 100;
Edges = [
<1,2>,
<1,3>,
<1,4>,
<1,5>,
<1,6>,
<1,7>,
<1,8>,
<1,9>,
<2,17>,
<2,16>,
<3,11>,
<3,15>,
<4,13>,
<4,12>,
<4,17>,
<5,13>,
<6,17>,
<6,13>,
<7,14>,
<7,10>,
<7,11>,
<8,15>,
<8,13>,
<9,15>,
<9,12>,
<9,11>,
<10,20>,
<10,24>,
<11,24>,
<11,22>,
<12,20>,
<12,23>,
<13,22>,
<14,23>,
<14,25>,
<14,21>,
<15,22>,
<15,25>,
<15,18>,
<16,23>,
<16,19>,
<17,19>,
<18,31>,
<19,28>,
<20,29>,
<20,26>,
<20,28>,
<21,32>,
<22,29>,
<22,28>,
<22,26>,
<23,26>,
<23,31>,
<23,27>,
<24,27>,
<24,29>,
<24,33>,
<25,33>,
<25,30>,
<25,26>,
<26,39>,
<26,36>,
<26,41>,
<27,41>,
<28,40>,
<28,34>,
<28,39>,
<29,35>,
<29,39>,
<30,40>,
<30,39>,
<30,34>,
<31,35>,
<32,37>,
<33,36>,
<33,34>,
<33,38>,
<34,49>,
<34,46>,
<34,43>,
<35,45>,
<36,42>,
<36,44>,
<37,47>,
<37,45>,
<37,48>,
<38,43>,
<39,48>,
<40,46>,
<41,47>,
<41,43>,
<41,49>,
<42,50>,
<43,50>,
<44,50>,
<45,50>,
<46,50>,
<47,50>,
<48,50>,
<49,50>,
];
StartAfter = [
{2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,}
{16,17,19,23,26,27,28,31,34,35,36,39,40,41,42,43,44,45,46,47,48,49,50,}
{11,15,18,22,24,25,26,27,28,29,30,31,33,34,35,36,38,39,40,41,42,43,44,45,46,47,48,49,50,}
{12,13,17,19,20,22,23,26,27,28,29,31,34,35,36,39,40,41,42,43,44,45,46,47,48,49,50,}
{34,35,36,39,40,41,42,43,44,45,13,46,48,49,50,47,22,26,28,29,}
{13,17,19,22,26,28,29,34,35,36,39,40,41,42,43,44,45,46,47,48,49,50,}
{10,11,14,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,}
{13,15,18,22,25,26,28,29,30,31,33,34,35,36,38,39,40,41,42,43,44,45,46,47,48,49,50,}
