T = 20;
P = 8;
Exec = [
[980,670,550,990,690,740,610,540],
[580,800,570,640,830,590,820,950],
[720,590,630,940,600,650,990,500],
[850,800,840,890,810,530,810,620],
[930,990,700,650,760,740,630,570],
[620,730,980,990,970,950,760,910],
[900,770,960,660,790,500,500,590],
[530,510,800,860,940,550,970,750],
[790,970,780,740,530,500,580,670],
[840,720,630,890,790,580,810,950],
[840,890,990,670,820,930,800,640],
[800,840,580,930,620,760,800,590],
[820,710,870,890,630,530,690,530],
[580,660,900,540,840,810,640,780],
[630,790,510,760,620,820,720,560],
[910,850,670,680,950,800,590,880],
[950,550,680,630,750,710,780,910],
[510,840,680,930,850,980,730,710],
[960,510,890,960,500,800,820,860],
[660,540,670,830,720,690,750,980],
];
E = 40;
Edges = [
<1,2>,
<1,3>,
<1,4>,
<1,5>,
<1,6>,
<2,11>,
<2,9>,
<2,10>,
<3,7>,
<3,8>,
<4,9>,
<4,11>,
<5,8>,
<5,9>,
<5,11>,
<6,7>,
<6,11>,
<6,9>,
<7,12>,
<8,12>,
<8,13>,
<8,15>,
<9,12>,
<9,14>,
<9,13>,
<10,12>,
<11,13>,
<12,18>,
<12,17>,
<12,16>,
<13,19>,
<14,19>,
<14,16>,
<14,17>,
<15,18>,
<15,17>,
<16,20>,
<17,20>,
<18,20>,
<19,20>,
];
StartAfter = [
{2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,}
{9,10,11,12,13,14,16,17,18,19,20,}
{7,8,12,13,15,16,17,18,19,20,}
{9,11,12,13,14,16,17,18,19,20,}
{8,9,11,12,13,14,15,16,17,18,19,20,}
{7,9,11,12,13,14,16,17,18,19,20,}
{12,16,17,18,20,}
{12,13,15,16,17,18,19,20,}
{12,13,14,16,17,18,19,20,}
{12,16,17,18,20,}
{19,20,13,}
{16,17,18,20,}
{19,20,}
{16,17,19,20,}
{17,18,20,}
{20,}
{20,}
{20,}
{20,}
{}
];
V = 20;
VarS = [90,102,104,80,88,81,87,94,94,99,102,90,85,88,82,101,97,88,104,89];
VarR = {
<5,3,26,1,1>,
<9,3,25,2,1>,
<10,1,21,2,2>,
<5,1,20,2,2>,
<14,1,27,1,2>,
<17,3,24,2,3>,
<20,2,23,1,3>,
<19,3,22,1,4>,
<6,3,21,2,4>,
<6,2,24,2,5>,
<20,2,24,2,5>,
<14,2,24,2,5>,
<8,3,25,2,6>,
<16,3,27,2,6>,
<7,3,21,2,6>,
<2,3,23,2,7>,
<4,3,25,1,8>,
<14,3,20,1,8>,
<1,3,24,2,9>,
<7,1,23,1,9>,
<13,3,28,1,10>,
<8,3,28,1,11>,
<17,3,20,1,11>,
<19,3,21,1,11>,
<9,3,20,2,12>,
<16,1,25,1,13>,
<15,3,26,2,13>,
<20,2,25,2,13>,
<18,1,28,1,14>,
<12,3,20,1,14>,
<8,2,28,1,14>,
<15,1,27,2,15>,
<2,2,23,1,15>,
<1,1,22,2,15>,
<20,3,20,1,16>,
<18,1,28,1,16>,
<12,2,20,1,16>,
<17,1,23,1,17>,
<10,3,21,1,17>,
<8,2,30,2,17>,
<14,3,28,2,18>,
<5,3,28,2,18>,
<3,2,22,2,18>,
<19,1,21,2,19>,
<10,1,20,2,20>,
<13,3,23,1,20>,
};
SPMS = [200,200,200,200,200,200,200,200,];
LLB = [0,446,446,446,446,446,955,834,955,901,955,1320,1595,1320,1069,1520,1520,1474,1641,2036];
SLB = [446,901,902,901,834,955,1369,1069,1320,1377,1595,1800,1972,1641,1474,2004,1915,1928,1991,2372];
LUB = [2132,1827,1754,1827,1686,1881,1625,1298,1372,1687,1703,1211,1063,1007,1136,820,731,790,686,336];
SUB = [1686,1372,1298,1372,1298,1372,1211,1063,1007,1211,1063,731,686,686,731,336,336,336,336,0];
UB = 3133;
