T = 15;
P = 4;
Exec = [
[720,970,700,850],
[710,900,560,780],
[530,630,890,520],
[520,960,720,780],
[730,920,640,690],
[640,630,850,680],
[920,550,920,780],
[850,740,540,680],
[850,950,950,920],
[620,800,720,830],
[510,760,960,880],
[610,510,560,970],
[600,920,870,540],
[560,860,740,830],
[550,750,530,950],
];
E = 28;
Edges = [
<1,2>,
<1,3>,
<1,4>,
<1,5>,
<1,6>,
<2,8>,
<2,7>,
<3,7>,
<4,10>,
<4,9>,
<4,7>,
<5,10>,
<5,9>,
<5,7>,
<6,9>,
<6,10>,
<7,14>,
<8,14>,
<8,13>,
<8,12>,
<9,13>,
<9,11>,
<10,13>,
<10,11>,
<11,15>,
<12,15>,
<13,15>,
<14,15>,
];
StartAfter = [
{2,3,4,5,6,7,8,9,10,11,12,13,14,15,}
{7,8,12,13,14,15,}
{15,14,7,}
{7,9,10,11,13,14,15,}
{7,9,10,11,13,14,15,}
{9,10,11,13,15,}
{14,15,}
{12,13,14,15,}
{11,13,15,}
{11,13,15,}
{15,}
{15,}
{15,}
{15,}
{}
];
V = 15;
VarS = [49,51,51,45,52,42,49,40,48,49,48,40,47,47,49];
VarR = {
<15,1,20,2,1>,
<11,1,28,2,2>,
<1,1,30,2,2>,
<10,1,23,1,2>,
<5,2,25,2,3>,
<1,1,30,2,3>,
<9,3,27,2,4>,
<12,2,26,2,4>,
<10,1,27,2,4>,
<9,1,21,2,5>,
<11,2,23,2,5>,
<15,3,26,1,5>,
<10,1,28,1,6>,
<9,3,30,2,6>,
<4,3,24,1,7>,
<14,2,24,2,7>,
<2,2,26,2,7>,
<15,2,27,1,8>,
<2,1,27,1,9>,
<7,2,28,1,9>,
<3,1,26,1,10>,
<10,3,26,2,10>,
<6,3,22,1,10>,
<1,1,20,2,11>,
<5,2,21,2,12>,
<11,1,20,1,12>,
<1,2,29,2,12>,
<3,2,26,1,13>,
<10,1,22,1,13>,
<4,3,29,2,13>,
<2,1,20,2,14>,
<12,2,22,1,14>,
<4,2,28,1,14>,
<8,2,22,2,15>,
<9,2,20,2,15>,
};
SPMS = [150,150,150,150,];
LLB = [0,562,562,562,562,562,1110,1023,1126,1126,1568,1519,1568,1604,2108];
SLB = [562,1023,1004,867,1110,1126,1604,1519,1744,1568,1984,1933,2108,2116,2486];
LUB = [2103,1749,1826,1541,1784,1800,1384,1288,1412,1236,794,792,918,890,378];
SUB = [1541,1288,1384,1236,1236,1236,890,792,794,794,378,378,378,378,0];
UB = 3480;
