T = 20;
P = 4;
Exec = [
[850,500,870,540],
[680,740,580,830],
[940,690,730,730],
[860,880,820,560],
[910,880,980,800],
[670,500,930,670],
[830,850,970,560],
[580,870,650,760],
[880,570,690,530],
[740,910,830,620],
[860,620,940,890],
[590,750,510,920],
[870,870,570,600],
[780,500,950,750],
[550,640,570,620],
[960,590,700,720],
[600,900,990,780],
[740,810,730,770],
[580,510,890,560],
[710,580,950,620],
];
E = 34;
Edges = [
<1,2>,
<1,3>,
<1,4>,
<1,5>,
<1,6>,
<2,8>,
<2,9>,
<2,10>,
<3,11>,
<3,7>,
<4,10>,
<5,7>,
<5,8>,
<6,7>,
<6,8>,
<7,12>,
<7,14>,
<8,14>,
<8,15>,
<9,14>,
<10,14>,
<11,13>,
<11,15>,
<12,16>,
<12,17>,
<13,16>,
<14,18>,
<15,18>,
<15,16>,
<15,19>,
<16,20>,
<17,20>,
<18,20>,
<19,20>,
];
StartAfter = [
{2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,}
{8,9,10,14,15,16,18,19,20,}
{7,11,12,13,14,15,16,17,18,19,20,}
{10,18,20,14,}
{7,8,12,14,15,16,17,18,19,20,}
{7,8,12,14,15,16,17,18,19,20,}
{12,14,16,17,18,20,}
{14,15,16,18,19,20,}
{18,20,14,}
{18,20,14,}
{13,15,16,18,19,20,}
{16,17,20,}
{16,20,}
{18,20,}
{16,18,19,20,}
{20,}
{20,}
{20,}
{20,}
{}
];
V = 20;
VarS = [47,49,40,52,49,41,42,47,43,42,44,52,41,41,42,46,52,52,43,45];
VarR = {
<20,3,26,2,1>,
<4,1,28,2,1>,
<8,3,24,2,1>,
<16,2,20,2,2>,
<7,2,22,1,2>,
<13,2,30,1,2>,
<8,3,26,2,3>,
<14,2,20,2,3>,
<20,3,29,2,4>,
<13,3,23,2,4>,
<16,1,29,2,4>,
<1,3,20,2,5>,
<5,3,30,2,5>,
<1,1,22,2,6>,
<7,1,29,2,7>,
<2,2,23,1,8>,
<11,1,27,1,8>,
<18,2,24,1,8>,
<18,1,27,1,9>,
<19,3,23,2,10>,
<8,1,23,1,10>,
<12,3,22,2,10>,
<5,1,27,1,11>,
<9,1,28,2,12>,
<5,2,24,2,13>,
<7,2,28,1,14>,
<11,1,25,1,14>,
<1,3,27,2,14>,
<13,2,28,2,15>,
<7,2,20,1,16>,
<4,2,28,1,16>,
<3,2,24,2,17>,
<7,1,30,2,17>,
<10,2,22,1,18>,
<9,3,25,2,18>,
<16,3,30,2,18>,
<5,1,28,2,19>,
<15,3,22,1,19>,
<11,2,22,1,20>,
<4,3,29,2,20>,
<15,3,21,2,20>,
};
SPMS = [200,200,200,200,];
LLB = [0,337,337,337,337,337,837,837,871,726,979,1198,1503,1244,1503,1665,1642,1665,1924,2106];
SLB = [337,871,979,726,944,837,1198,1244,1298,1302,1503,1642,1888,1704,1924,2096,2242,2320,2365,2521];
LUB = [2488,2208,2293,2495,2258,2151,1651,1674,1957,2106,1755,1290,1231,1530,1267,846,1015,1070,856,415];
SUB = [2151,1674,1651,2106,1651,1651,1290,1267,1530,1530,1231,846,846,1070,846,415,415,415,415,0];
UB = 4138;
